idx,id,depth,Explored,Pruned,Fathomed,Objective,TotalSchedules,IntegerSchedules,SchedulesPerOrder,SchedulesOptimalPerOrder,Integer,CGIterations,MasterCompTime,PricingCompTime
0.0,0,0,1,0,0,300.00000000000006,371.0,14.0,11.242424242424242,4.181818181818182,0,22.0,1.0002644062042236,89.82211184501648
1.0,1,1,1,0,0,299.99999999999994,369.0,14.0,11.181818181818182,4.181818181818182,0,1.0,0.021914243698120117,3.634608507156372
,2,1,0,0,0,,,,,,False,,,
2.0,3,2,1,0,0,299.99999999999994,368.0,14.0,11.151515151515152,4.181818181818182,0,1.0,0.026900291442871094,3.4494688510894775
,4,2,0,0,0,,,,,,False,,,
3.0,5,3,1,0,0,299.99999999999994,368.0,14.0,11.151515151515152,4.181818181818182,0,1.0,0.022910594940185547,3.4666213989257812
,6,3,0,0,0,,,,,,False,,,
4.0,7,4,1,0,0,299.99999999999994,368.0,14.0,11.151515151515152,4.181818181818182,0,1.0,0.02194070816040039,3.304579496383667
,8,4,0,0,0,,,,,,False,,,
5.0,9,5,1,0,0,299.99999999999994,368.0,14.0,11.151515151515152,4.181818181818182,0,1.0,0.02091050148010254,3.2648611068725586
,10,5,0,0,0,,,,,,False,,,
6.0,11,6,1,0,0,299.99999999999994,367.0,14.0,11.121212121212121,4.181818181818182,0,1.0,0.021939516067504883,3.1849379539489746
,12,6,0,0,0,,,,,,False,,,
7.0,13,7,1,0,0,299.99999999999994,367.0,14.0,11.121212121212121,4.181818181818182,0,1.0,0.021914243698120117,2.9802958965301514
,14,7,0,0,0,,,,,,False,,,
8.0,15,8,1,0,0,299.99999999999994,365.0,14.0,11.06060606060606,4.181818181818182,0,1.0,0.0219419002532959,3.1980910301208496
,16,8,0,0,0,,,,,,False,,,
9.0,17,9,1,0,0,299.99999999999994,364.0,14.0,11.030303030303031,4.181818181818182,0,1.0,0.025906801223754883,2.8772172927856445
,18,9,0,0,0,,,,,,False,,,
10.0,19,10,1,0,0,299.99999999999994,364.0,14.0,11.030303030303031,4.181818181818182,0,1.0,0.021940946578979492,2.841975688934326
,20,10,0,0,0,,,,,,False,,,
11.0,21,11,1,0,0,299.99999999999994,364.0,14.0,11.030303030303031,4.181818181818182,0,1.0,0.021961450576782227,2.7206871509552
,22,11,0,0,0,,,,,,False,,,
12.0,23,12,1,0,0,299.99999999999994,360.0,14.0,10.909090909090908,4.181818181818182,0,1.0,0.022938966751098633,2.5996525287628174
,24,12,0,0,0,,,,,,False,,,
13.0,25,13,1,0,0,299.99999999999994,360.0,14.0,10.909090909090908,4.181818181818182,0,1.0,0.022938013076782227,2.4935646057128906
,26,13,0,0,0,,,,,,False,,,
14.0,27,14,1,0,0,299.99999999999994,360.0,14.0,10.909090909090908,4.181818181818182,0,1.0,0.022566795349121094,2.3879384994506836
,28,14,0,0,0,,,,,,False,,,
15.0,29,15,1,0,0,300.0,364.0,15.0,11.030303030303031,4.03030303030303,0,4.0,0.2821822166442871,9.452154636383057
,30,15,0,0,0,,,,,,False,,,
16.0,31,16,1,0,0,300.0,350.0,16.0,10.606060606060606,3.8181818181818183,0,2.0,0.1655879020690918,5.130300998687744
,32,16,0,0,0,,,,,,False,,,
17.0,33,17,1,0,0,300.0,364.0,17.0,11.030303030303031,3.696969696969697,0,3.0,0.2774670124053955,7.927671432495117
,34,17,0,0,0,,,,,,False,,,
18.0,35,18,1,0,0,300.0000000000001,363.0,18.0,11.0,3.515151515151515,0,4.0,0.28621339797973633,8.80560564994812
,36,18,0,0,0,,,,,,False,,,
19.0,37,19,1,0,0,299.99999999999994,390.0,19.0,11.818181818181818,3.1818181818181817,0,10.0,0.6033403873443604,20.61384677886963
,38,19,0,0,0,,,,,,False,,,
20.0,39,20,1,0,0,300.0,439.0,20.0,13.303030303030303,3.1515151515151514,0,6.0,0.40813183784484863,12.88657283782959
,40,20,0,0,0,,,,,,False,,,
21.0,41,21,1,0,0,300.0,464.0,21.0,14.06060606060606,3.0,0,10.0,0.6014363765716553,19.17732334136963
,42,21,0,0,0,,,,,,False,,,
22.0,43,22,1,0,0,299.9999999999999,519.0,22.0,15.727272727272727,2.5757575757575757,0,12.0,0.6123878955841064,19.953334093093872
,44,22,0,0,0,,,,,,False,,,
23.0,45,23,1,0,0,360.00000000000006,679.0,23.0,20.575757575757574,1.8181818181818181,0,45.0,1.9638123512268066,68.51585221290588
,46,23,0,0,0,,,,,,False,,,
24.0,47,24,1,0,0,359.99999999999994,608.0,24.0,18.424242424242426,1.606060606060606,0,1.0,0.03490638732910156,1.3150973320007324
,48,24,0,0,0,,,,,,False,,,
25.0,49,25,1,0,0,360.0,513.0,29.0,15.545454545454545,1.121212121212121,0,24.0,0.6940732002258301,27.54524850845337
,50,25,0,0,0,,,,,,False,,,
26.0,51,26,1,0,0,360.0,450.0,29.0,13.636363636363637,1.121212121212121,0,1.0,0.022938251495361328,1.0242865085601807
,52,26,0,0,0,,,,,,False,,,
27.0,53,27,1,0,0,360.0,383.0,29.0,11.606060606060606,1.121212121212121,0,1.0,0.021941184997558594,0.9215743541717529
,54,27,0,0,0,,,,,,False,,,
28.0,55,28,1,0,0,360.0,300.0,29.0,9.090909090909092,1.121212121212121,0,1.0,0.021940946578979492,0.8188138008117676
,56,28,0,0,0,,,,,,False,,,
29.0,57,29,1,0,0,360.0,253.0,29.0,7.666666666666667,1.121212121212121,0,1.0,0.026928186416625977,0.6923427581787109
,58,29,0,0,0,,,,,,False,,,
30.0,59,30,1,0,0,360.0,225.0,30.0,6.818181818181818,1.0909090909090908,0,10.0,0.2987635135650635,6.761952638626099
,60,30,0,0,0,,,,,,False,,,
31.0,61,31,1,0,0,360.0,150.0,33.0,4.545454545454546,1.0,1,1.0,0.023935556411743164,0.4698460102081299
,62,31,0,0,0,,,,,,False,,,
