idx,id,depth,Iteration,MasterCompTime,PricingCompTime,pricingExact,MasterSolVal,Integer,ArtVars,artvarSUM,SelectedColumns,TotalColumns,IntegerColumns,SchedulesPerOrder,SchedulesSelectedPerOrder,ColumnsNegRedCost,ColumnsChecked
0,0,0,1,0.1421067714691162,11.11398983001709,1,2040.0,0,0,0.0,115,236,9,5.7560975609756095,2.8048780487804876,4,41
0,0,0,2,0.0312345027923584,12.212453126907349,1,2040.0,0,0,0.0,110,235,10,5.7317073170731705,2.682926829268293,6,41
0,0,0,3,0.10979413986206055,21.108821153640747,1,2040.0,0,0,0.0,110,235,10,5.7317073170731705,2.682926829268293,7,41
0,0,0,4,0.09271097183227539,22.173879861831665,1,2040.0,0,0,0.0,110,235,10,5.7317073170731705,2.682926829268293,10,41
0,0,0,5,0.1228494644165039,21.016685009002686,1,2040.0,0,0,0.0,91,234,15,5.7073170731707314,2.2195121951219514,8,41
0,0,0,6,0.10894989967346191,21.332499265670776,1,2040.0,0,0,0.0,91,232,14,5.658536585365853,2.2195121951219514,11,41
0,0,0,7,0.11945080757141113,22.320114135742188,1,2040.0,0,0,0.0,94,229,14,5.585365853658536,2.292682926829268,13,41
0,0,0,8,0.12798309326171875,23.966575860977173,1,2040.0,0,0,0.0,89,230,16,5.609756097560975,2.1707317073170733,15,41
0,0,0,9,0.1089925765991211,24.685191869735718,1,2040.0,0,0,0.0,90,230,15,5.609756097560975,2.1951219512195124,25,41
0,0,0,10,0.1567680835723877,22.38008213043213,1,2040.0,0,0,0.0,109,242,9,5.902439024390244,2.658536585365854,15,41
0,0,0,11,0.1674487590789795,20.897820234298706,1,2040.0,0,0,0.0,104,232,14,5.658536585365853,2.5365853658536586,16,41
0,0,0,12,0.17522501945495605,21.256341218948364,1,2040.0,0,0,0.0,112,236,14,5.7560975609756095,2.731707317073171,16,41
0,0,0,13,0.24171996116638184,14.099443435668945,1,2040.0,0,0,0.0,115,236,13,5.7560975609756095,2.8048780487804876,16,41
0,0,0,14,0.09386134147644043,9.632193565368652,1,1639.542857142857,0,0,0.0,162,383,0,9.341463414634147,3.951219512195122,25,41
0,0,0,15,0.07810282707214355,8.346158742904663,1,1160.170212765957,0,0,0.0,181,432,0,10.536585365853659,4.414634146341464,16,41
0,0,0,16,0.09414887428283691,9.029839277267456,1,689.4296577946768,0,0,0.0,173,434,0,10.585365853658537,4.219512195121951,17,41
0,0,0,17,0.09008646011352539,8.50400185585022,1,583.6056065732239,0,0,0.0,191,465,0,11.341463414634147,4.658536585365853,16,41
0,0,0,18,0.07814860343933105,8.245314121246338,1,496.76720804331,0,0,0.0,177,462,1,11.268292682926829,4.317073170731708,16,41
0,0,0,19,0.1365199089050293,20.61564826965332,1,446.0154132017422,0,0,0.0,173,486,0,11.853658536585366,4.219512195121951,16,41
0,0,0,20,0.22381281852722168,13.259382486343384,1,420.5513689346705,0,0,0.0,181,500,0,12.195121951219512,4.414634146341464,16,41
0,0,0,21,0.07840681076049805,8.207038640975952,1,388.0858913686242,0,0,0.0,181,515,0,12.560975609756097,4.414634146341464,16,41
0,0,0,22,0.12763237953186035,8.640648603439331,1,366.43780752946543,0,0,0.0,185,515,1,12.560975609756097,4.512195121951219,15,41
0,0,0,23,0.14059138298034668,7.640375375747681,1,360.0,0,0,0.0,189,533,1,13.0,4.609756097560975,0,41
1,1,1,1,0.040418386459350586,0.0,True,360.0,0,0,0.0,189,532,1,12.975609756097562,4.609756097560975,0,0
2,3,2,1,0.046878814697265625,0.0,True,360.0,0,0,0.0,176,519,2,12.658536585365853,4.2926829268292686,0,0
3,5,3,1,0.04688906669616699,0.0,True,360.0,0,0,0.0,169,507,3,12.365853658536585,4.121951219512195,0,0
4,7,4,1,0.07820534706115723,0.0,True,360.0,0,0,0.0,165,510,4,12.439024390243903,4.024390243902439,0,0
5,9,5,1,0.0728304386138916,0.0,True,360.0,0,0,0.0,160,495,5,12.073170731707316,3.902439024390244,0,0
6,11,6,1,0.07617664337158203,0.0,True,360.0,0,0,0.0,153,484,6,11.804878048780488,3.731707317073171,0,0
7,13,7,1,0.11016368865966797,0.0,True,360.0,0,0,0.0,153,478,7,11.658536585365853,3.731707317073171,0,0
8,15,8,1,0.11313843727111816,0.0,True,360.0,0,0,0.0,153,476,8,11.609756097560975,3.731707317073171,0,0
9,17,9,1,0.10978865623474121,0.0,True,360.0,0,0,0.0,144,456,9,11.121951219512194,3.5121951219512195,0,0
10,19,10,1,0.0890049934387207,0.0,True,360.0,0,0,0.0,137,451,10,11.0,3.341463414634146,0,0
11,21,11,1,0.2639586925506592,18.549560070037842,1,425.8226980671525,0,0,0.0,159,442,11,10.78048780487805,3.8780487804878048,24,30
11,21,11,2,0.2823624610900879,0.0,True,360.00000000000006,0,0,0.0,143,490,12,11.951219512195122,3.4878048780487805,0,0
12,23,12,1,0.09715008735656738,0.0,True,360.0,0,0,0.0,143,481,12,11.731707317073171,3.4878048780487805,0,0
13,25,13,1,0.12558960914611816,0.0,True,360.0,0,0,0.0,137,459,13,11.195121951219512,3.341463414634146,0,0
14,27,14,1,0.11330151557922363,0.0,True,359.99999999999994,0,0,0.0,133,450,14,10.975609756097562,3.2439024390243905,0,0
15,29,15,1,0.23671412467956543,16.592092990875244,1,367.77160730354507,0,0,0.0,128,443,17,10.804878048780488,3.1219512195121952,13,26
15,29,15,2,0.24530482292175293,14.972810983657837,1,367.7716073035452,0,0,0.0,127,438,17,10.682926829268293,3.097560975609756,13,26
15,29,15,3,0.2656362056732178,0.0,True,360.0,0,0,0.0,128,471,16,11.487804878048781,3.1219512195121952,0,0
16,31,16,1,0.09369277954101562,0.0,True,360.0,0,0,0.0,128,466,16,11.365853658536585,3.1219512195121952,0,0
17,33,17,1,0.13733482360839844,0.0,True,359.99999999999994,0,0,0.0,113,429,17,10.463414634146341,2.7560975609756095,0,0
18,35,18,1,0.2816152572631836,13.340397357940674,1,41667039.45984371,0,1,0.04166666666666674,133,428,17,10.439024390243903,3.2439024390243905,21,23
18,35,18,2,0.21535730361938477,0.0,True,360.0,0,0,0.0,117,437,19,10.658536585365853,2.8536585365853657,0,0
19,37,19,1,0.09863471984863281,0.0,True,360.00000000000006,0,0,0.0,117,430,19,10.487804878048781,2.8536585365853657,0,0
20,39,20,1,0.11060714721679688,0.0,True,360.0,0,0,0.0,111,425,20,10.365853658536585,2.707317073170732,0,0
21,41,21,1,0.3458676338195801,11.199658870697021,1,1278183.993944906,0,0,0.0,114,407,20,9.926829268292684,2.7804878048780486,19,20
21,41,21,2,0.2733628749847412,11.542608261108398,1,789.8545135845753,0,0,0.0,102,402,26,9.804878048780488,2.4878048780487805,19,20
21,41,21,3,0.2783792018890381,11.37519645690918,1,401.9743336623886,0,0,0.0,102,416,26,10.146341463414634,2.4878048780487805,19,20
21,41,21,4,0.17186594009399414,12.052220344543457,1,373.54455445544556,0,0,0.0,100,420,26,10.24390243902439,2.4390243902439024,19,20
21,41,21,5,0.306225061416626,0.0,True,360.0,0,0,0.0,120,441,21,10.75609756097561,2.926829268292683,0,0
22,43,22,1,0.15625309944152832,11.12171459197998,1,367.3877207737594,0,0,0.0,97,424,26,10.341463414634147,2.3658536585365852,15,19
22,43,22,2,0.25169825553894043,10.088066101074219,1,362.4185518691388,0,0,0.0,107,449,26,10.951219512195122,2.6097560975609757,17,19
22,43,22,3,0.20464348793029785,0.0,True,360.0,0,0,0.0,99,466,27,11.365853658536585,2.4146341463414633,0,0
23,45,23,1,0.09370899200439453,0.0,True,360.0,0,0,0.0,99,441,27,10.75609756097561,2.4146341463414633,0,0
24,47,24,1,0.09364652633666992,0.0,True,360.0,0,0,0.0,99,430,27,10.487804878048781,2.4146341463414633,0,0
25,49,25,1,0.09560322761535645,0.0,True,360.0,0,0,0.0,99,426,27,10.390243902439025,2.4146341463414633,0,0
26,51,26,1,0.09371232986450195,0.0,True,360.0,0,0,0.0,99,420,27,10.24390243902439,2.4146341463414633,0,0
27,53,27,1,0.09376883506774902,0.0,True,360.0,0,0,0.0,99,412,27,10.048780487804878,2.4146341463414633,0,0
28,55,28,1,0.15566492080688477,7.715547561645508,1,374.06964091403677,0,0,0.0,93,348,28,8.487804878048781,2.268292682926829,12,13
28,55,28,2,0.20312213897705078,0.0,True,360.0,0,0,0.0,94,393,28,9.585365853658537,2.292682926829268,0,0
29,57,29,1,0.17188167572021484,5.808243751525879,1,523.9253921153031,0,0,0.0,93,333,29,8.121951219512194,2.268292682926829,11,12
29,57,29,2,0.20650577545166016,5.642302751541138,1,402.061855670103,0,0,0.0,98,378,29,9.21951219512195,2.3902439024390243,11,12
29,57,29,3,0.18930912017822266,5.65685772895813,1,373.5,0,0,0.0,92,361,29,8.804878048780488,2.2439024390243905,11,12
29,57,29,4,0.18874073028564453,0.0,True,360.0,0,0,0.0,90,370,29,9.024390243902438,2.1951219512195124,0,0
30,59,30,1,0.12508702278137207,5.294367551803589,1,385.5876275749798,0,0,0.0,93,360,30,8.78048780487805,2.268292682926829,10,11
30,59,30,2,0.16904115676879883,5.059946537017822,1,368.12555507625166,0,0,0.0,93,369,30,9.0,2.268292682926829,11,11
30,59,30,3,0.18415570259094238,5.272380352020264,1,360.8821034775233,0,0,0.0,90,373,30,9.097560975609756,2.1951219512195124,10,11
30,59,30,4,0.17345404624938965,0.0,True,360.0,0,0,0.0,95,389,30,9.487804878048781,2.317073170731707,0,0
31,61,31,1,0.1573035717010498,4.878849744796753,1,437.8883715661822,0,0,0.0,97,376,31,9.170731707317072,2.3658536585365852,10,10
31,61,31,2,0.1570436954498291,4.738291025161743,1,394.46410277071124,0,0,0.0,94,403,31,9.829268292682928,2.292682926829268,10,10
31,61,31,3,0.18789410591125488,4.76556396484375,1,375.740575597892,0,0,0.0,90,406,31,9.902439024390244,2.1951219512195124,10,10
31,61,31,4,0.14059734344482422,4.626639127731323,1,364.30913348946143,0,0,0.0,87,399,31,9.731707317073171,2.1219512195121952,10,10
31,61,31,5,0.15625715255737305,0.0,True,360.0,0,0,0.0,91,415,31,10.121951219512194,2.2195121951219514,0,0
32,63,32,1,0.18824028968811035,3.9983458518981934,1,124287286.43160181,0,1,0.12428675932699318,91,383,31,9.341463414634147,2.2195121951219514,9,9
32,63,32,2,0.15836739540100098,3.6905508041381836,1,117537644.76640108,0,2,0.11753712993016618,93,388,30,9.463414634146341,2.268292682926829,9,9
32,63,32,3,0.16898560523986816,4.064009189605713,1,79370642.58641095,0,1,0.07937006352503562,93,410,31,10.0,2.268292682926829,9,9
32,63,32,4,0.14133238792419434,4.7396399974823,1,926.3054187192122,0,0,0.0,83,416,32,10.146341463414634,2.024390243902439,9,9
32,63,32,5,0.16771459579467773,4.419058561325073,1,572.5842696629211,0,0,0.0,88,438,32,10.682926829268293,2.1463414634146343,9,9
32,63,32,6,0.1725912094116211,5.3599464893341064,1,549.3749999999998,0,0,0.0,85,439,32,10.707317073170731,2.073170731707317,9,9
32,63,32,7,0.18344402313232422,4.217205762863159,1,491.4748525147486,0,0,0.0,90,446,32,10.878048780487806,2.1951219512195124,9,9
32,63,32,8,0.17197751998901367,4.657280921936035,1,463.03009920968555,0,0,0.0,91,454,32,11.073170731707316,2.2195121951219514,9,9
32,63,32,9,0.15706443786621094,4.163190841674805,1,439.3817619783619,0,0,0.0,85,464,32,11.317073170731707,2.073170731707317,8,9
32,63,32,10,0.15707612037658691,4.10937762260437,1,435.8823529411763,0,0,0.0,84,465,32,11.341463414634147,2.048780487804878,8,9
32,63,32,11,0.15754938125610352,4.109497547149658,1,403.8557317975613,0,0,0.0,86,488,32,11.902439024390244,2.097560975609756,9,9
32,63,32,12,0.15876388549804688,4.245912075042725,1,384.5053272450533,0,0,0.0,91,478,32,11.658536585365853,2.2195121951219514,9,9
32,63,32,13,0.17348766326904297,4.280496597290039,1,362.6216484607744,0,0,0.0,86,496,32,12.097560975609756,2.097560975609756,9,9
32,63,32,14,0.15655279159545898,0.0,True,360.0,0,0,0.0,81,479,32,11.682926829268293,1.975609756097561,0,0
33,65,33,1,0.1570901870727539,3.4423584938049316,1,250000750.0,0,1,0.25,62,416,32,10.146341463414634,1.5121951219512195,2,8
33,65,33,2,0.11119294166564941,3.3844377994537354,1,200000671.99999997,0,1,0.19999999999999996,70,447,32,10.902439024390244,1.7073170731707317,2,8
33,65,33,3,0.1278078556060791,3.516343116760254,1,107144586.4285715,0,1,0.1071428571428572,73,453,32,11.048780487804878,1.7804878048780488,4,8
33,65,33,4,0.1573352813720703,3.9482951164245605,1,70793620.55584684,0,1,0.07079181961195591,82,458,32,11.170731707317072,2.0,8,8
33,65,33,5,0.12499403953552246,3.5890331268310547,1,62501762.5,0,1,0.0625,74,471,32,11.487804878048781,1.8048780487804879,4,8
33,65,33,6,0.12970876693725586,4.164945363998413,1,18607096.372092854,0,1,0.01860465116279053,77,470,32,11.463414634146341,1.8780487804878048,8,8
33,65,33,7,0.1490938663482666,4.220264196395874,1,2460.0,0,0,0.0,48,419,34,10.21951219512195,1.170731707317073,8,8
33,65,33,8,0.12792539596557617,3.914984703063965,1,2415.0,0,0,0.0,54,454,33,11.073170731707316,1.3170731707317074,8,8
33,65,33,9,0.11027884483337402,3.4164154529571533,1,2400.0,0,0,0.0,50,443,35,10.804878048780488,1.2195121951219512,2,8
33,65,33,10,0.11016654968261719,4.017683982849121,1,1632.9411764705883,0,0,0.0,61,482,33,11.75609756097561,1.4878048780487805,8,8
33,65,33,11,0.12499260902404785,4.0725390911102295,1,1560.0,0,0,0.0,60,464,33,11.317073170731707,1.4634146341463414,8,8
33,65,33,12,0.12497162818908691,3.8945043087005615,1,1468.2352941176473,0,0,0.0,60,469,33,11.439024390243903,1.4634146341463414,8,8
33,65,33,13,0.15623688697814941,3.8751797676086426,1,1040.0,0,0,0.0,46,452,37,11.024390243902438,1.1219512195121952,8,8
33,65,33,14,0.15622758865356445,3.7910056114196777,1,1040.0,0,0,0.0,46,452,37,11.024390243902438,1.1219512195121952,8,8
33,65,33,15,0.12500381469726562,0.0,True,360.0,1,0,0.0,41,440,41,10.731707317073171,1.0,0,0
